"DateTime","LAT( 1008- Ready to Deploy )"
"2022-09-29 19:00:00",0
"2022-09-29 20:00:00",14.89
"2022-09-29 21:00:00",39.7
"2022-10-11 16:00:00",3.31
"2022-10-11 17:00:00",39.7
"2022-10-18 17:00:00",0
"2022-10-18 18:00:00",29.12
"2022-10-18 19:00:00",39.7
"2022-11-01 17:00:00",0
"2022-11-01 18:00:00",0
"2023-01-18 21:00:00",0
"2023-01-19 16:00:00",0
"2023-01-19 17:00:00",0
"2023-01-19 18:00:00",0
"2023-01-19 19:00:00",0
"2023-01-19 20:00:00",0
"2023-01-19 21:00:00",0
"2023-01-19 22:00:00",0
"2023-01-19 23:00:00",0
"2023-01-20 00:00:00",0
"2023-01-20 01:00:00",0
"2023-01-20 02:00:00",0
"2023-01-20 03:00:00",0
"2023-01-20 04:00:00",0
"2023-01-20 05:00:00",0
"2023-01-20 06:00:00",0
"2023-01-20 07:00:00",0
"2023-01-20 08:00:00",0
"2023-01-20 09:00:00",0
"2023-01-20 10:00:00",0
"2023-01-20 11:00:00",0
"2023-01-20 12:00:00",0
"2023-01-20 13:00:00",0
"2023-01-20 14:00:00",0
"2023-01-20 15:00:00",0
"2023-01-20 16:00:00",0
"2023-01-20 17:00:00",0
"2023-01-20 18:00:00",0
"2023-01-20 19:00:00",0
"2023-01-20 20:00:00",0
"2023-01-20 21:00:00",0
"2023-01-20 22:00:00",0
"2023-01-20 23:00:00",0
"2023-01-21 00:00:00",0
"2023-01-21 01:00:00",0
"2023-01-21 02:00:00",0
"2023-01-21 03:00:00",0
"2023-01-21 04:00:00",0
"2023-01-21 05:00:00",0
"2023-01-21 06:00:00",0
"2023-01-21 07:00:00",0
"2023-01-21 08:00:00",0
"2023-01-21 09:00:00",0
"2023-01-21 10:00:00",0
"2023-01-21 11:00:00",0
"2023-01-21 12:00:00",0
"2023-01-21 13:00:00",0
"2023-01-21 14:00:00",0
"2023-01-21 15:00:00",0
"2023-01-21 16:00:00",0
"2023-01-21 17:00:00",0
"2023-01-21 18:00:00",0
"2023-01-21 19:00:00",0
"2023-01-21 20:00:00",0
"2023-01-21 21:00:00",0
"2023-01-21 22:00:00",0
"2023-01-21 23:00:00",0
"2023-01-22 00:00:00",0
"2023-01-22 01:00:00",0
"2023-01-22 02:00:00",0
"2023-01-22 03:00:00",0
"2023-01-22 04:00:00",0
"2023-01-22 05:00:00",0
"2023-01-22 06:00:00",0
"2023-01-22 07:00:00",0
"2023-01-22 08:00:00",0
"2023-01-22 09:00:00",0
"2023-01-22 10:00:00",0
"2023-01-22 11:00:00",0
"2023-01-22 12:00:00",0
"2023-01-22 13:00:00",0
"2023-01-22 14:00:00",0
"2023-01-22 15:00:00",0
"2023-01-22 16:00:00",0
"2023-01-22 17:00:00",0
"2023-01-22 18:00:00",0
"2023-01-22 19:00:00",0
"2023-01-22 20:00:00",0
"2023-01-22 21:00:00",0
"2023-01-22 22:00:00",0
"2023-01-22 23:00:00",0
"2023-01-23 00:00:00",0
"2023-01-23 01:00:00",0
"2023-01-23 02:00:00",0
"2023-01-23 03:00:00",0
"2023-01-23 04:00:00",0
"2023-01-23 05:00:00",0
"2023-01-23 06:00:00",0
"2023-01-23 07:00:00",0
"2023-01-23 08:00:00",0
"2023-01-23 09:00:00",0
"2023-01-23 10:00:00",0
"2023-01-23 11:00:00",0
"2023-01-23 12:00:00",0
"2023-01-23 13:00:00",0
"2023-01-23 14:00:00",0
"2023-01-23 15:00:00",0
"2023-01-23 16:00:00",0
"2023-01-23 17:00:00",0
"2023-01-23 18:00:00",0
"2023-01-23 19:00:00",0
"2023-01-23 20:00:00",0
"2023-01-23 21:00:00",0
"2023-01-23 22:00:00",0
"2023-01-23 23:00:00",0
"2023-01-24 00:00:00",0
"2023-01-24 01:00:00",0
"2023-01-24 02:00:00",0
"2023-01-24 03:00:00",0
"2023-01-24 04:00:00",0
"2023-01-24 05:00:00",0
"2023-01-24 06:00:00",0
"2023-01-24 07:00:00",0
"2023-01-24 08:00:00",0
"2023-01-24 09:00:00",0
"2023-01-24 10:00:00",0
"2023-01-24 11:00:00",0
"2023-01-24 12:00:00",0
"2023-01-24 13:00:00",0
"2023-01-24 14:00:00",0
"2023-01-24 15:00:00",0
"2023-01-24 16:00:00",0
"2023-01-24 17:00:00",0
"2023-02-13 19:00:00",0
"2023-02-13 20:00:00",0
"2023-02-13 21:00:00",0
"2023-03-21 01:00:00",0
"2023-03-21 02:00:00",0
"2023-03-21 03:00:00",0
"2023-03-21 04:00:00",0
"2023-03-21 05:00:00",0
"2023-03-21 06:00:00",0
"2023-03-21 07:00:00",0
"2023-03-21 08:00:00",0
"2023-03-21 09:00:00",0
"2023-03-21 10:00:00",0
"2023-03-21 11:00:00",0
"2023-03-21 12:00:00",0
"2023-03-21 13:00:00",0
"2023-03-21 14:00:00",0
"2023-03-21 15:00:00",0
"2023-03-21 16:00:00",0
"2023-03-21 17:00:00",0
"2023-03-21 18:00:00",0
"2023-03-21 19:00:00",0
"2023-03-21 20:00:00",0
"2023-03-21 21:00:00",0
"2023-03-21 22:00:00",0
"2023-03-21 23:00:00",0
"2023-03-22 00:00:00",0
"2023-03-22 01:00:00",0
"2023-03-22 02:00:00",0
"2023-03-22 03:00:00",0
"2023-03-22 04:00:00",0