StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],trans-2-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],cis-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]","2,3-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],3-methyl-pentane_[ppbV],1-hexene_[ppbV],methyl-cyclopentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",styrene_[ppbV],o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",n-propyl-benzene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],"1,2,3-trimethyl-benzene_[ppbV]",n-decane_[ppbV],m-diethyl-benzene_[ppbV]
08/01/2017 1:33:00,08/01/2017 2:03:00,0.483,0.31,8.84,0.095,5.024,0.918,,1.92,,0.662,1.169,,0.071898556,0.870089,0.121878111,0.063427444,0.216,0.059,0.2,0.215,0.439,0.168,0.166,,,0.222,0.128,0.231,0.212,0.461,0.0662,,0.059,0.08,0.116,0.064,0.291,,0.097,0.061,,,,,,,,0.064,,,,
08/01/2017 2:33:00,08/01/2017 3:03:00,0.434,0.317,8.955,0.088,5.292,0.891,,1.823,,0.64,1.295,0.056831125,0.074744125,0.900021625,0.118673625,0.074744125,0.228,,0.21,0.217,0.441,0.162,0.177,,,0.227,0.141,0.248,0.221,0.519,0.0615,,0.078,0.093,0.126,,0.27,,0.131,0.078,,0.059,,,0.076,,,0.059,,,0.066,
08/01/2017 3:32:00,08/01/2017 4:02:00,0.358,0.303,10.019,0.079,5.345,1,,2.059,,0.701,1.214,,0.066134444,0.90924125,0.118741389,0.063665139,0.209,,0.191,0.201,0.418,0.142,0.168,,,0.226,0.123,0.256,0.223,0.481,0.0524,,0.069,0.094,0.141,,0.247,,0.125,0.105,,0.056,,,0.078,,,0.059,,,0.06,
08/01/2017 5:32:00,08/01/2017 6:02:00,0.702,0.501,9.505,0.195,5.374,1.418,,2.262,0.051,0.781,1.653,0.059858333,0.088590333,1.120112667,0.104044667,0.129838167,0.279,0.071,0.285,0.329,0.65,0.237,0.326,0.051,0.064,0.401,0.202,0.608,0.47,0.843,0.0831,0.058117,0.182,0.212,0.376,0.13,0.541,,0.266,0.247,,0.114,0.058,,0.198,,,0.226,,,0.141,
08/01/2017 6:32:00,08/01/2017 7:02:00,0.617,0.278,4.046,0.171,2.132,0.538,,0.967,,0.339,0.778,,,0.506539542,0.352484903,,0.139,,0.127,0.126,0.252,0.149,0.125,,,0.185,0.095,0.117,0.111,0.384,0.0892,,,,,0.086,0.188,,0.085,,,,,,,,,,,,,
08/01/2017 7:31:00,08/01/2017 8:01:00,0.276,0.249,2.969,0.074,3.708,0.328,,1.255,,0.431,0.359,,,0.334005222,0.161377028,,0.072,,0.053,0.058,0.126,0.077,,,,,,,,0.153,,,,,,,,,,,,,,,,,,,,,,
08/01/2017 8:31:00,08/01/2017 9:01:00,0.202,0.225,3.119,,2.023,0.421,,0.973,,0.336,0.409,,,0.418960208,,,0.079,,0.065,0.066,0.154,0.082,,0.056,,0.052,,0.053,0.056,0.088,,,,,,,,,,,,,,,,,,,,,,
08/01/2017 9:30:00,08/01/2017 10:00:00,0.114,0.141,2.431,,1.818,0.454,,0.973,,0.335,0.452,,,0.489027778,,,0.104,,0.1,0.14,0.281,0.1,0.16,,,0.172,0.08,0.374,0.273,0.359,,,0.124,0.15,0.284,,0.296,,0.14,0.252,,0.083,,,0.154,,,0.225,,,0.171,0.089
08/01/2017 10:30:00,08/01/2017 11:00:00,,0.164,3.491,,2.377,0.538,,1.101,,0.374,0.538,,,0.52453975,,,0.087,,0.077,0.087,0.215,0.073,0.08,,,0.096,,0.168,0.136,0.196,,,,0.061,0.117,,0.16,,,0.104,,,,,0.067,,,0.116,,,0.08,
08/01/2017 11:30:00,08/01/2017 12:00:00,0.063,0.152,2.501,,1.502,0.299,,0.743,,0.256,0.33,,,0.3431475,0.08459775,,0.065,,0.05,0.056,0.135,0.077,,,,,,0.07,0.068,0.071,,,,,0.055,,,,,,,,,,,,,,,,,
08/01/2017 12:29:00,08/01/2017 12:59:00,0.206,0.21,4.026,,2.429,0.539,,1.196,,0.406,0.495,,,0.489912306,0.057676972,,0.097,,0.077,0.091,0.218,0.097,0.079,,,,,0.168,0.132,0.143,,,0.055,0.063,0.116,,0.137,,0.057,0.117,,,,,,,,0.08,,,0.066,
08/01/2017 13:29:00,08/01/2017 13:59:00,0.158,0.145,4.586,,2.536,0.456,,1.141,,0.386,0.396,,,0.433764722,0.158890278,,0.077,,0.057,0.056,0.149,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2017 14:29:00,08/01/2017 14:59:00,0.065,0.14,3.874,,2.27,0.362,,0.97,,0.336,0.308,,,0.3699285,0.119499375,,0.059,,,,0.116,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2017 15:29:00,08/01/2017 15:59:00,0.096,0.139,3.014,,1.715,0.306,,0.726,,0.253,0.284,,,0.327668333,0.112360028,,0.06,,,0.063,0.133,0.091,0.053,,,0.055,,0.123,0.095,0.112,,,,0.057,0.101,,0.072,,,0.086,,,,,,,,0.077,,,0.059,
08/01/2017 16:28:00,08/01/2017 16:58:00,0.105,0.182,1.766,,0.937,0.123,,0.38,,0.126,0.154,,,0.139732014,0.139147361,,,,,,0.058,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2017 17:28:00,08/01/2017 17:58:00,0.084,0.148,2.187,,1.229,0.213,,0.555,,0.189,0.243,,,0.266397333,0.075777333,,0.05,,,,0.099,0.074,,,,,,0.063,0.053,,,,,,,,,,,,,,,,,,,,,,,
08/01/2017 18:28:00,08/01/2017 18:58:00,0.417,0.236,4.982,0.101,4.967,1.973,,2.965,0.053,1.007,2.345,,0.087618056,1.740876042,0.068555208,0.187194792,0.33,0.051,0.333,0.466,0.922,0.231,0.544,0.069,0.079,0.649,0.319,1.383,0.98,1.319,,,0.512,0.559,1.169,0.237,1.447,,0.738,1.104,0.17,0.357,0.232,0.169,0.769,0.252,0.232,1.318,0.126,0.102,1.086,0.616
08/01/2017 19:28:00,08/01/2017 19:58:00,0.266,0.259,7.454,0.066,5.451,1.472,,3.138,0.1,1.103,1.774,0.075295778,0.099004417,1.301592361,0.141775278,0.081371861,0.257,,0.224,0.214,0.471,0.154,0.184,,,0.189,0.092,0.258,0.224,0.294,,,0.07,0.102,0.176,,0.159,,0.127,0.09,,,,,0.066,,,0.086,,,0.072,
08/01/2017 20:27:00,08/01/2017 20:57:00,0.41,0.305,8.28,0.126,6.258,1.662,,3.5,0.066,1.211,1.381,,0.071805125,1.224043625,0.08367275,0.079477125,0.212,,0.181,0.182,0.397,0.148,0.151,,,0.163,0.071,0.151,0.152,0.258,,,,0.057,0.095,,0.126,,,0.072,,,,,,,,0.065,,,,
08/01/2017 21:27:00,08/01/2017 21:57:00,0.88,0.332,24.062,0.364,14.56,3.988,,6.646,0.132,2.287,3.422,0.088890389,0.145577611,2.250723944,0.087563667,0.184052556,0.335,,0.318,0.309,0.671,0.22,0.287,,,0.37,0.174,0.388,0.332,0.656,0.0526,,0.119,0.16,0.27,0.127,0.529,,0.22,0.213,,0.102,0.058,,0.176,,,0.241,,,0.176,0.051
08/02/2017 10:06:00,08/02/2017 10:36:00,0.245,0.439,8.919,0.096,7.55,1.26,,3.177,0.053,1.089,1.137,,0.062138806,1.183512944,,0.087144361,0.194,,0.158,0.18,0.386,0.134,0.142,,,0.119,0.058,0.164,0.148,0.179,,,,0.053,0.076,0.056,0.147,,,0.074,,,,,,,,0.05,,,,
08/02/2017 11:06:00,08/02/2017 11:36:00,0.201,0.305,11.003,,6.909,1.368,,3.264,0.053,1.117,1.188,,0.064894167,1.063207917,,0.071308125,0.178,,0.148,0.144,0.374,0.113,0.103,,,0.094,,0.089,0.108,0.128,,,,,,,,,0.057,,,,,,,,,,,,,
08/02/2017 12:06:00,08/02/2017 12:36:00,0.091,0.197,7.089,,4.615,0.963,,2.172,,0.739,0.952,,,0.8567845,,0.0535095,0.154,,0.132,0.139,0.29,0.132,0.146,,,0.126,0.055,0.237,0.176,0.218,,,0.066,0.121,0.193,,0.244,,0.097,0.188,,0.075,,,0.118,,,0.221,,,0.174,0.084
08/02/2017 13:06:00,08/02/2017 13:36:00,0.263,0.378,7.913,0.075,5.299,1.211,,2.554,,0.871,1.12,,0.0595465,1.019034014,,0.056238361,0.186,,0.163,0.151,0.36,0.141,0.152,,,0.17,0.077,0.247,0.198,0.302,,,0.056,0.094,0.186,,0.19,,0.12,0.2,,0.072,,,0.133,,,0.226,,,0.215,0.122
08/02/2017 14:05:00,08/02/2017 14:35:00,0.2,0.274,7.16,0.062,5.853,1.38,,3.072,0.052,1.051,1.371,,0.073584028,1.332702722,0.063090306,0.080750472,0.203,,0.176,0.187,0.453,0.124,0.171,,,0.162,0.072,0.255,0.186,0.252,,,0.057,0.094,0.171,,0.18,,0.084,0.188,,0.07,,,0.148,,,0.268,,,0.216,0.095
08/02/2017 15:05:00,08/02/2017 15:35:00,0.111,0.19,4.716,,3.209,0.586,,1.491,,0.512,0.516,,,0.530278333,0.078383375,,0.104,,0.084,0.096,0.219,0.091,0.068,,,0.059,,0.06,0.073,0.09,,,,,,,,,,,,,,,,,,,,,,
08/02/2017 16:05:00,08/02/2017 16:35:00,0.057,0.105,15.005,,9.288,1.405,,3.162,0.052,1.079,1.121,,0.058508889,1.163446667,,0.066793333,0.196,,0.164,0.179,0.423,0.139,0.178,,,0.178,0.077,0.274,0.242,0.23,,,0.073,0.093,0.203,,0.193,,0.087,0.209,,0.07,,,0.118,,,0.222,,,0.193,0.108
08/02/2017 17:05:00,08/02/2017 17:35:00,0.056,0.143,9.253,,6.79,1.44,,3.689,0.061,1.257,1.144,,0.069125875,1.367416556,,0.085007903,0.232,,0.182,0.199,0.564,0.12,0.184,,,0.153,0.066,0.171,0.208,0.144,,,,,0.071,,,,,,,,,,,,,,,,,
08/02/2017 18:04:00,08/02/2017 18:34:00,0.143,0.203,7.242,,6.65,1.601,,4.411,0.069,1.512,1.523,,0.092034417,1.9095505,0.07344425,0.130131167,0.323,,0.26,0.3,0.8,0.134,0.275,,,0.237,0.097,0.245,0.303,0.162,,,,0.056,0.083,,,,,,,,,,,,,,,,,
08/02/2017 19:04:00,08/02/2017 19:34:00,0.552,0.239,52.386,0.185,48.231,12.1,,34.181,0.518,11.721,12.125,0.080044889,0.736728944,15.42035821,0.090445458,1.069415514,2.625,,2.193,2.446,6.18,0.956,2.263,0.269,0.232,2.051,0.91,2.139,2.521,1.328,,,0.519,0.405,0.768,0.108,0.478,,0.223,0.25,,0.052,,,,,,0.096,,,,
08/02/2017 20:04:00,08/02/2017 20:34:00,0.318,0.273,5.858,0.091,4.937,1.018,,2.565,,0.871,0.827,,,0.866617667,,0.065797278,0.152,,0.127,0.148,0.316,0.103,0.104,,,0.092,,0.11,0.128,0.1,,,,,,,,,,,,,,,,,,,,,,
08/02/2017 22:03:00,08/02/2017 22:33:00,0.44,0.265,22.837,0.108,17.557,4.591,,11.956,0.183,4.152,5.059,,0.297037806,6.39119875,,0.502916194,1.238,0.164,1.064,1.234,3.298,0.517,1.179,0.145,,1.166,0.486,1.211,1.452,0.835,,,0.31,0.265,0.507,,0.296,,0.132,0.178,,0.052,,,0.059,,,0.063,,,,
08/02/2017 23:03:00,08/02/2017 23:33:00,0.316,0.258,8.432,0.073,5.792,1.288,,3.189,0.053,1.109,1.26,,0.069317569,1.403579833,,0.108216167,0.259,,0.224,0.25,0.62,0.158,0.212,,,0.202,0.092,0.226,0.259,0.255,,,,0.065,0.059,,,,,,,,,,,,,,,,,
08/03/2017 0:03:00,08/03/2017 0:33:00,0.64,0.339,21.616,0.137,15.899,3.588,,8.436,0.131,2.905,3.16,,0.181211333,3.800295333,,0.327371333,0.805,0.104,0.689,0.908,2.206,0.459,0.889,0.121,,0.881,0.393,1.118,1.186,0.831,,,0.298,0.262,0.497,0.082,0.379,,0.133,0.197,,,,,0.063,,,0.124,,,0.059,
08/03/2017 1:03:00,08/03/2017 1:33:00,0.159,0.231,6.407,,4.956,0.875,,2.438,,0.836,0.696,,,0.848529056,,0.071844667,0.135,,0.108,0.153,0.311,0.137,0.102,,,0.083,,0.114,0.117,0.086,,,,,,,,,,,,,,,,,,,,,,
08/03/2017 2:02:00,08/03/2017 2:32:00,0.257,0.197,17.158,,11.659,2.66,,7.235,0.108,2.481,3.338,,0.215605556,4.599402778,,0.429843056,1.119,,0.994,1.345,3.377,0.556,1.419,0.053,,1.432,0.627,1.698,2.003,1.133,,,0.499,0.413,0.858,0.052,0.52,,0.231,0.338,,0.072,,,0.105,,,0.166,,,0.086,
08/03/2017 3:02:00,08/03/2017 3:32:00,0.197,0.188,34.342,0.056,23.797,5.406,,15.323,0.235,5.298,8.165,,0.522795875,11.0203885,,1.133205792,2.953,,2.662,3.774,8.957,1.484,4.063,0.486,0.467,4.026,1.878,5.113,5.88,3.477,,,1.634,1.254,2.681,0.295,1.825,,0.87,1.123,0.1,0.22,0.142,0.104,0.448,0.089,0.093,0.692,,,0.383,0.19
08/03/2017 4:01:00,08/03/2017 4:31:00,0.137,0.14,41.765,0.071,31.2,7.797,,21.815,0.334,7.565,12.395,0.0634695,0.801319722,16.97083167,,1.805492944,4.761,0.52,4.272,6.124,14.727,2.461,6.821,0.782,0.817,6.905,3.195,8.869,9.839,5.823,,0.063054667,2.774,2.147,4.591,0.459,3.126,0.078,1.505,1.909,0.176,0.379,0.251,0.165,0.716,0.16,0.162,1.142,0.096,0.059,0.62,0.327
08/03/2017 5:01:00,08/03/2017 5:31:00,0.229,0.236,6.946,,4.092,0.691,,1.612,,0.552,0.51,,,0.5254725,,,0.104,,0.087,0.085,0.189,0.098,0.067,,,0.057,,0.06,0.068,0.093,,,,,,,,,,,,,,,,,,,,,,
08/03/2017 6:01:00,08/03/2017 6:31:00,0.605,0.365,11.56,0.141,5.667,1.064,,2.516,0.056,0.874,0.973,,0.07560475,0.91354575,,0.05799625,0.172,,0.147,0.148,0.322,0.162,0.093,,,0.105,0.05,0.087,0.11,0.23,,,,,,,0.059,,,,,,,,,,,,,,,
08/03/2017 7:00:00,08/03/2017 7:30:00,1.118,1.558,5.657,0.203,3.983,0.718,,1.733,,0.602,0.949,,0.078250764,0.852329236,,,0.161,,0.144,0.136,0.269,,0.082,,,0.128,0.076,,,0.317,,,,,,0.052,0.126,,,,,,,,,,,,,,,
08/03/2017 8:00:00,08/03/2017 8:30:00,0.225,0.238,10.062,,6.872,1.487,,3.626,0.062,1.241,1.497,,0.097160889,1.955221667,,0.197005,0.484,0.065,0.457,0.668,1.537,0.324,0.742,0.059,,0.752,0.343,1.045,1.131,0.768,,,0.315,0.274,,,0.393,,0.305,0.28,,0.074,,,0.12,,,0.219,,,0.135,
08/03/2017 9:00:00,08/03/2017 9:30:00,0.248,0.273,29.719,0.085,22.425,5.54,,12.825,0.198,4.465,5.534,,0.35177275,7.506046875,,0.839683542,1.996,0.213,1.855,2.89,6.5,1.18,3.254,0.368,,3.297,1.551,4.659,5.089,3.343,,0.964322958,1.523,1.208,2.684,0.293,1.918,,0.951,1.287,0.113,0.276,0.191,0.121,0.574,0.134,0.124,0.985,,0.055,0.573,0.23
08/03/2017 11:59:00,08/03/2017 12:29:00,0.143,0.282,9.877,,6.058,1.327,,2.956,,1.006,0.982,,0.052476667,1.165155,,0.0696325,0.206,,0.169,0.193,0.481,0.132,0.161,,,0.175,0.072,0.203,0.205,0.139,,,,0.051,0.05,,,,,,,,,,,,,,,,,
08/03/2017 12:59:00,08/03/2017 13:29:00,0.154,0.239,6.44,,4.209,0.818,,1.912,,0.654,0.634,,,0.726252722,,,0.121,,,0.1,0.245,0.084,0.072,,,0.062,,0.071,0.081,0.062,,,,,,,,,,,,,,,,,,,,,,
08/03/2017 13:58:00,08/03/2017 14:28:00,0.188,0.221,5.767,,3.793,0.778,,1.796,,0.617,0.63,,,0.63309225,,,0.123,,,0.1,0.264,0.092,0.061,,,0.07,,0.062,0.081,0.085,,,,,,,,,,,,,,,,,,,,,,
08/03/2017 14:58:00,08/03/2017 15:28:00,0.364,0.289,6.788,,4.898,1.016,,2.608,,0.901,0.962,,0.056061625,0.920552375,0.066307875,0.064551375,0.176,,,0.153,0.368,0.117,0.106,,,0.116,0.062,0.11,0.13,0.183,,,,0.051,,,,,,,,,,,,,,,,,,
08/03/2017 15:58:00,08/03/2017 16:28:00,0.313,0.269,7.992,,5.734,1.214,,2.982,,1.027,1.102,,0.068259556,1.265449778,0.055902222,0.094004,0.258,,,0.271,0.637,0.152,0.247,,,0.256,0.114,0.341,0.36,0.313,,,0.083,0.104,0.16,,0.093,,,0.065,,,,,,,,,,,,
08/03/2017 16:58:00,08/03/2017 17:28:00,0.238,0.324,6.994,,4.447,0.914,,2.186,,0.749,0.724,,,0.817151597,,0.052485764,0.161,,0.136,0.16,0.362,0.116,0.126,0.052,,0.139,0.058,0.156,0.17,0.184,,,,0.058,,,,,,,,,,,,,,,,,,
08/03/2017 17:57:00,08/03/2017 18:27:00,0.426,0.316,10.514,0.089,12.938,5.3,,11.448,0.175,3.937,4.319,,0.209353917,4.390786083,,0.284537083,0.826,,0.711,0.814,2.099,0.404,0.874,0.118,,0.879,0.435,1.278,1.265,0.964,,,0.321,0.331,0.624,0.057,0.463,,0.289,0.341,,0.092,0.052,,0.157,,,0.36,,,0.269,0.089
08/03/2017 18:57:00,08/03/2017 19:27:00,0.308,0.288,11.01,0.061,8.415,1.837,,4.17,0.07,1.429,1.334,,0.074958361,1.393001097,0.052560444,0.087202556,0.235,,0.191,0.205,0.502,,0.155,,,0.144,0.065,0.17,0.166,0.192,,,,,,,,,,,,,,,,,,,,,,
08/03/2017 19:57:00,08/03/2017 20:27:00,0.306,0.324,7.39,0.064,4.58,0.897,,2.041,,0.702,0.708,,,0.810900222,,,0.139,,,0.113,0.302,0.093,0.086,,,0.226,0.115,0.137,0.19,0.14,,,,,,,,,,,,,,,,,,,,,,
08/03/2017 20:57:00,08/03/2017 21:27:00,0.164,0.232,8.699,,4.957,0.953,,2.125,,0.735,0.735,,,0.840211167,,0.050515208,0.153,,0.126,0.156,0.361,0.093,0.149,,,0.313,0.17,0.272,0.309,0.158,,,,0.057,0.092,,,,,,,,,,,,,,,,,
08/03/2017 21:56:00,08/03/2017 22:26:00,0.368,0.338,7.797,0.071,5.385,1.324,,2.439,,0.842,1.138,,0.077885278,1.209040139,,0.098644583,0.281,,0.251,0.321,0.717,0.178,0.354,,,0.402,0.201,0.498,0.489,0.465,0.0632,,0.122,0.126,0.192,,0.167,,0.078,0.079,,0.05,,,0.052,,,,,,,
08/03/2017 23:56:00,08/04/2017 0:26:00,0.415,0.332,9.788,0.094,5.32,1.179,,2.159,,0.743,,,0.063495,0.785961,,0.057681,0.203,,,0.176,0.419,0.126,0.112,,,0.15,0.087,0.106,0.13,0.376,0.2613,0.25857,,,,,,,,,,,,,,,,,,,,
08/04/2017 0:56:00,08/04/2017 1:26:00,0.472,0.321,12.823,0.086,6.649,1.325,,2.661,0.052,0.902,1.222,,0.069949931,1.033875347,,0.075945639,0.233,,,0.202,0.47,0.138,0.154,,,0.19,0.113,0.158,0.153,0.382,0.1936,0.208619903,,0.06,,,0.103,,,,,,,,,,,,,,,
08/04/2017 1:56:00,08/04/2017 2:26:00,0.51,0.435,18.708,0.101,9.261,1.865,,3.658,0.068,1.249,1.705,,0.107976083,1.414193194,,0.107821611,0.324,,0.295,0.315,0.676,,0.283,,,0.356,0.158,0.34,0.331,0.587,0.1189,0.066886472,0.078,0.11,,,0.196,,,,,0.053,,,,,,,,,,
08/04/2017 2:55:00,08/04/2017 3:25:00,0.664,0.525,18.691,0.139,9.789,2.066,,4.111,0.072,1.417,1.781,,0.099022917,1.697203125,,0.131461458,0.368,,0.33,0.384,0.875,0.2,0.337,,,0.361,0.175,0.442,0.434,1.141,,,0.104,0.122,0.168,,0.229,,0.098,0.067,,0.05,,,0.053,,,0.055,,,,
08/04/2017 3:55:00,08/04/2017 4:25:00,0.437,0.393,9.698,0.068,5.709,1.231,,2.661,0.052,0.931,1.279,,0.074541444,1.049350167,0.050526,0.075477111,0.247,0.06,0.217,0.229,0.516,0.138,0.181,,,0.206,0.123,0.219,0.233,0.365,,,,0.081,,,0.076,,,,,,,,,,,,,,,
08/04/2017 4:55:00,08/04/2017 5:25:00,0.52,0.368,12.122,0.103,7.469,1.514,,3.188,0.061,1.096,1.354,,0.081630569,1.282900389,0.056248319,0.095731819,0.291,,0.258,0.312,0.679,0.16,0.29,,,,0.136,0.377,0.377,0.4,,,,0.111,0.159,0.058,0.15,,0.187,0.058,,,,,,,,,,,,
08/04/2017 5:55:00,08/04/2017 6:25:00,0.735,0.342,19.061,0.189,15.287,4.031,,7.578,0.121,2.62,2.91,,0.154268333,2.931728,0.063438917,0.234550833,0.503,0.067,0.46,0.58,1.401,0.244,0.535,0.052,,0.538,0.25,0.734,0.683,0.726,,,0.204,0.189,0.322,0.101,0.319,,0.153,0.183,,0.079,,,0.112,,,0.229,,,0.133,
08/04/2017 6:54:00,08/04/2017 7:24:00,0.826,0.483,32.438,0.175,19.633,4.049,,8.526,0.141,2.936,2.56,,0.151035903,2.839316819,0.065791556,0.203384472,,0.086,0.451,0.502,1.229,0.292,0.405,0.054,,0.397,0.176,0.456,0.409,0.565,,,0.08,0.104,0.131,,0.165,,,0.063,,,,,,,,,,,,
08/04/2017 7:54:00,08/04/2017 8:24:00,0.893,0.485,23.406,0.189,16.632,3.488,,8.096,0.13,2.764,2.522,,0.140934444,2.757993333,0.055452222,0.193208889,0.436,,0.375,0.42,1.005,,0.3,0.056,,0.322,0.139,0.311,0.28,0.366,,,0.057,0.091,0.095,,0.09,,,0.06,,,,,,,,,,,,
08/04/2017 8:54:00,08/04/2017 9:24:00,0.718,0.469,23.562,0.151,18.762,4.467,,10.126,0.164,3.464,3.54,,0.190113375,3.89708475,0.0900285,0.270724,0.594,,0.518,0.602,1.476,0.276,0.503,0.054,,0.484,0.23,0.617,0.604,0.648,,,,0.17,0.281,,0.237,,,0.227,,0.076,,,,,,0.28,,,0.156,
08/04/2017 9:53:00,08/04/2017 10:23:00,0.999,0.59,33.718,0.178,27.777,7.249,,15.404,0.244,5.379,5.397,,0.303403222,6.350620722,0.066870583,0.462000361,0.944,,0.839,1.009,2.514,0.404,0.89,0.055,,0.972,0.432,1.143,1.161,1.113,,,,0.289,0.503,,0.454,,0.248,0.363,,0.106,,,,,,0.451,,,0.302,0.093
08/04/2017 10:53:00,08/04/2017 11:23:00,0.805,0.668,22.822,0.123,17.61,3.958,,9.292,0.145,3.182,3.095,,0.169796472,3.198102056,0.0753935,0.214098208,0.525,,0.448,0.498,1.146,0.282,0.391,0.05,,0.405,,,0.402,,,,,0.13,0.116,,0.115,,,0.068,,,,,,,,,,,,
08/04/2017 22:33:00,08/04/2017 23:03:00,0.67,0.646,4.957,0.151,2.353,0.534,,1.168,,0.389,0.777,,,0.6389,,,0.139,0.478,0.119,0.128,0.294,0.206,0.071,,,0.13,0.056,0.071,0.089,0.412,,,,,,0.092,,,0.095,,,,0.056,,0.055,,,,,,,
08/04/2017 23:33:00,08/05/2017 0:03:00,0.411,0.409,9.03,0.097,4.602,1.094,,2.362,,0.802,1.235,,,1.260354545,,0.090414545,0.321,1.045,0.267,0.292,0.719,0.265,0.245,,,0.3,0.122,0.299,0.315,0.532,,,0.079,0.06,0.12,0.102,,,0.075,,,,,,,,,,,,,
08/05/2017 2:32:00,08/05/2017 3:02:00,0.361,0.406,57.959,0.211,37.449,8.115,0.071,21.739,0.318,7.398,8.948,0.064669091,0.523985455,12.53492182,,1.050147273,2.598,8.278,2.414,3.707,7.971,1.542,3.991,0.444,0.527,4.414,2.026,7.355,7.173,5.274,,1.67124,2.565,2.219,4.773,2.452,0.843,0.114,1.891,2.701,0.235,0.52,0.862,0.229,1.053,0.279,0.255,1.477,0.17,0.101,0.89,0.51
08/05/2017 3:32:00,08/05/2017 4:02:00,0.766,0.462,42.658,0.167,27.159,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2017 4:31:00,08/05/2017 5:01:00,1.265,0.657,25.7,0.255,21.877,4.652,,12.273,0.165,4.175,3.929,,0.193192727,4.67828,,0.283672727,0.638,2.071,0.521,0.627,1.414,0.384,0.436,,0.056,0.481,0.219,0.478,0.452,0.648,,,0.098,0.099,0.153,0.159,,,0.144,0.093,,,0.085,,0.089,,,0.083,,,0.059,
08/05/2017 7:30:00,08/05/2017 8:00:00,0.102,0.291,2.613,,1.221,0.254,,0.616,,0.205,0.319,,,0.320218182,,,,0.18,,,0.144,0.119,,,,,,,,0.054,,,,,,,,,,,,,,,,,,,,,,
08/05/2017 8:30:00,08/05/2017 9:00:00,0.266,0.284,27.882,0.099,17.114,3.489,,9.2,0.121,3.129,3.248,,0.178363636,4.725927273,,0.343963636,0.921,2.976,0.828,1.217,2.769,0.595,1.365,0.122,0.181,1.45,0.649,2.484,2.402,1.774,,0.527127273,0.883,0.77,1.684,0.939,0.361,,0.66,0.954,0.079,0.178,0.301,0.073,0.353,0.072,0.095,0.494,,,0.294,0.175
