StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],trans-2-butene_[ppbV],1-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],cis-2-pentene_[ppbV],trans-2-pentene_[ppbV],n-pentane_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]","2,3-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],3-methyl-pentane_[ppbV],methyl-cyclopentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],"2,4-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],"2,3-dimethyl-pentane_[ppbV]",3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",o-xylene_[ppbV],n-nonane_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]","1,2,3-trimethyl-benzene_[ppbV]",p-ethyl-toluene_[ppbV],n-decane_[ppbV],n-undecane_[ppbV]
10/13/2017 12:10,10/13/2017 12:40,0.843,0.603,10.906,0.119,6.104,1.419,,3.235,0.91,,1.371,,,,,1.254,0.071,,,0.263,0.189,0.183,0.408,0.203,,0.122,,0.151,0.173,0.119,0.34,,,,,,,0.105,0.051,,,,,,,,
10/13/2017 13:10,10/13/2017 13:40,0.233,0.167,7.684,,4.788,0.875,,2.056,0.572,,0.636,,,,,0.582,,,,0.104,0.06,0.065,0.169,0.095,,,,,0.054,,0.074,,,,,,,,,,,,,,,,
10/13/2017 14:10,10/13/2017 14:40,0.184,0.118,8.046,,5.654,0.952,,2.167,0.612,,0.588,,,,,0.625,,,,0.081,,0.062,0.146,0.089,,,,,0.059,,,,,,,,,,,,,,,,,,
10/13/2017 15:09,10/13/2017 15:39,0.177,0.172,8.154,,5.514,0.993,,2.149,0.599,,0.639,,,,,0.658,,,,0.098,0.066,0.08,0.184,0.089,,,,0.057,0.079,0.054,,,,,,,,,,,,,,,,,
10/13/2017 16:09,10/13/2017 16:39,0.17,0.125,9.456,,6.718,1.205,,2.778,0.787,,0.733,,,,,0.783,,,,0.125,0.089,0.095,0.239,0.084,,,,,0.08,,,,,,,,,,,,,,,,,,
10/13/2017 17:09,10/13/2017 17:39,0.535,0.125,11.268,0.091,7.376,1.367,,3.084,0.871,,0.846,,,,,0.899,0.053,,,0.136,0.091,0.11,0.267,0.109,,,,,0.077,0.054,,,,,,,,,,,,,,,,,
10/13/2017 18:09,10/13/2017 18:39,1.344,0.597,11.545,0.2,6.15,1.317,,2.898,0.823,,1.052,,,,,0.874,,,,0.181,0.129,0.123,0.291,0.195,,,,0.08,0.109,0.068,0.209,,,,,,,0.083,,,,,,,,,
10/13/2017 19:09,10/13/2017 19:39,1.099,0.582,12.78,0.223,7.665,1.676,,3.644,1.045,,1.359,,,,,1.161,0.063,,,0.219,0.177,0.165,0.37,0.225,,0.082,,0.114,0.137,0.088,0.351,,,,,,,0.13,0.063,,,,,,,,
10/13/2017 20:10,10/13/2017 20:40,1.269,0.768,13.15,0.262,7.426,1.747,,3.388,0.97,,1.339,,,,,1.127,0.066,,,0.236,0.187,0.18,0.41,0.243,,0.111,,0.126,0.144,0.088,0.412,0.057,,,,,,0.145,,,,,,,,,
10/13/2017 21:12,10/13/2017 21:42,1.775,1.176,14.564,0.295,7.321,1.907,,3.411,0.978,0.052,1.528,,0.083,,0.059,1.274,0.075,,,0.289,0.224,0.216,0.473,0.291,,0.113,0.053,0.163,0.158,0.094,0.575,0.07,,,,,0.071,0.206,0.08,,,,,,0.052,,
10/13/2017 22:12,10/13/2017 22:42,1.677,1.029,16.732,0.326,8.16,2.104,,3.808,1.086,0.066,1.731,,0.082,,0.065,1.394,0.083,,,0.298,0.212,0.235,0.542,0.312,,0.092,,0.172,0.17,0.103,0.63,0.079,,,,,0.077,0.238,0.081,,,0.05,,,0.06,0.054,
10/13/2017 23:14,10/13/2017 23:44,1.437,0.888,18.26,0.247,8.365,2.073,,3.744,1.064,0.057,1.591,,0.052,,,1.322,0.08,,,0.262,0.227,0.206,0.474,0.276,0.064,0.108,,0.179,0.162,0.09,0.553,0.064,,,,,0.07,0.169,0.066,,,,,,0.065,,
10/14/2017 1:18,10/14/2017 1:48,0.944,0.673,15.004,0.125,7.682,1.837,,3.237,0.93,,1.422,,,,,1.217,0.089,,,0.261,0.202,0.188,0.418,0.189,,0.084,,0.117,0.128,0.083,0.394,0.074,,,,,,0.159,,,,,,,,,
10/14/2017 2:18,10/14/2017 2:48,0.932,0.601,17.931,0.18,9.164,2.158,,3.808,1.098,0.067,1.88,,,,0.063,1.478,0.115,,0.064,0.32,0.23,0.217,0.506,0.212,0.158,0.124,0.108,0.169,0.169,0.128,0.485,0.396,0.291,,,,0.051,0.199,0.09,0.052,,,,,0.066,,
10/14/2017 3:21,10/14/2017 3:51,0.912,0.444,15.176,0.146,7.58,1.734,,3.02,0.869,0.058,1.336,,,,,1.104,0.075,,,0.211,0.166,0.155,0.356,0.164,,0.098,,0.115,0.116,0.055,0.351,0.104,0.091,,,,,0.124,0.071,,,,,,,,
10/14/2017 4:23,10/14/2017 4:53,0.821,0.481,14.7,0.145,6.669,1.695,,2.815,0.811,0.061,1.334,,,,0.054,1.035,0.076,,,0.198,0.16,0.151,0.34,0.155,0.06,0.136,,0.184,0.136,0.063,0.309,0.062,0.158,,,,,0.119,0.071,,,,,,,,
10/14/2017 5:24,10/14/2017 5:54,1.024,0.506,17.456,0.134,7.598,3.099,,4.657,1.432,0.225,2.305,0.079,,0.065,0.114,1.653,0.096,,0.076,0.308,0.252,0.216,0.473,0.172,0.165,0.105,0.097,0.129,0.118,0.073,0.421,0.42,0.295,,,,,0.162,0.061,,,0.051,,,,,
10/14/2017 6:26,10/14/2017 6:56,1.069,0.512,20.131,0.175,10.875,2.706,,5.203,1.528,0.139,2.065,,,,0.088,1.908,0.113,,,0.381,0.285,0.292,0.675,0.195,,0.115,,0.14,0.171,0.15,0.408,0.107,,,,,,0.151,,,,,,,,,
10/14/2017 7:29,10/14/2017 7:59,1.05,0.459,24.317,0.177,17.21,3.707,,8.154,2.367,0.147,2.485,,,,0.083,2.8,0.17,,,0.384,0.311,0.359,0.808,0.201,0.054,0.146,,0.165,0.244,0.232,0.301,,,,,0.084,,0.123,,0.062,,,,,,,
10/14/2017 15:16,10/14/2017 15:46,,,1.305,,0.44,0.202,,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2017 16:18,10/14/2017 16:48,,,1.163,,0.496,0.098,,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2017 17:18,10/14/2017 17:48,0.289,0.104,3.221,,2.133,0.551,,0.958,0.253,,0.456,,,,,0.405,,,,0.056,,0.05,0.125,0.056,,,,,0.051,,,,,,,,,,,0.06,,,,,0.058,0.125,0.177
10/14/2017 18:18,10/14/2017 18:48,0.596,0.167,5.844,0.114,3.405,0.766,,1.487,0.407,,0.535,,,,,0.52,,,,0.099,0.057,0.084,0.165,0.105,,,,,0.06,,0.08,,,,,,,0.067,,,,,,,,,
10/14/2017 19:19,10/14/2017 19:49,0.492,0.142,6.609,0.094,3.703,0.777,,1.657,0.459,,0.525,,,,,0.56,,,,0.104,0.066,0.085,0.205,0.101,,,,0.051,0.102,0.075,0.05,,,,,,,,,,,,,,,,
10/14/2017 20:22,10/14/2017 20:52,0.745,0.402,5.704,0.159,3.645,0.95,,2.38,0.675,,0.963,,,,,0.883,,,,0.156,0.093,0.114,0.243,0.15,,,,0.053,0.088,0.06,0.163,,,,,,,0.114,,,,,,,,,
10/14/2017 21:24,10/14/2017 21:54,0.954,0.463,5.636,0.163,2.513,0.733,,1.538,0.423,,0.724,,,,,0.709,,,,0.125,0.071,0.079,0.196,0.13,,,,,0.083,0.061,0.151,,,,,,,0.093,,,,,,,,,
10/14/2017 22:27,10/14/2017 22:57,1.332,0.727,11.241,0.307,4.298,1.259,,2.654,0.759,0.056,1.296,,,,,1.076,0.054,,,0.21,0.132,0.139,0.295,0.201,,0.088,,0.111,0.114,0.071,0.289,,,,,,,0.144,0.056,,,,,,0.057,,
10/14/2017 23:30,10/15/2017 0:00,1.159,0.702,8.446,0.262,3.164,1.024,,2.09,0.599,,1.016,,,,,0.746,,,,0.156,0.117,0.116,0.236,0.165,,0.059,,0.062,0.086,,0.215,,,,,,,0.112,0.053,,,,,,,,
10/15/2017 0:32,10/15/2017 1:02,1.273,0.778,10.621,0.269,3.661,0.921,,1.816,0.511,,0.832,,,,,0.668,,,,0.134,0.112,0.105,0.218,0.162,,,,0.056,0.08,,0.259,,,,,,,0.135,,,,0.052,,,0.066,,
10/15/2017 1:34,10/15/2017 2:04,0.889,0.552,9.42,0.153,4.383,0.954,,1.881,0.527,,0.78,,,,,0.649,,,,0.133,0.086,0.103,0.229,0.126,,,,,0.081,,0.177,,,,,,,0.098,,,,,,,,,
10/15/2017 2:36,10/15/2017 3:06,0.825,0.52,11.582,0.145,5.471,1.109,,2.183,0.603,,0.877,,,,,0.758,,,,0.151,0.115,0.125,0.281,0.124,,0.066,,0.067,0.095,0.07,0.18,,,,,,,0.098,,,,,,,,,
10/15/2017 3:38,10/15/2017 4:08,0.827,0.4,15.838,0.131,8.694,1.817,,3.558,1.022,,1.331,,,,,1.2,0.064,,0.065,0.231,0.158,0.194,0.416,0.129,0.126,,0.107,0.089,0.132,0.121,0.231,0.291,0.212,,,,,0.09,,,,,,,,,
10/15/2017 4:41,10/15/2017 5:11,0.996,0.542,19.788,0.155,11.197,2.235,,4.665,1.336,0.071,1.576,,,,,1.483,0.086,,,0.265,0.177,0.229,0.516,0.149,0.105,0.106,0.052,0.117,0.168,0.153,0.249,0.16,0.155,,,0.054,,0.114,,,,,,,,,
10/15/2017 5:44,10/15/2017 6:14,1.12,0.613,22.996,0.159,13.68,2.864,,5.704,1.642,0.092,1.787,,,,,1.836,0.112,,,0.296,0.204,0.222,0.598,0.169,,0.091,,0.121,0.195,0.187,0.243,,,,,0.067,,0.118,,,,,,,,,
10/15/2017 6:46,10/15/2017 7:16,1.319,0.791,17.377,0.21,8.321,1.661,,3.374,0.961,,1.128,,,,,1.151,0.071,,,0.212,0.149,0.158,0.396,0.172,,0.091,,0.111,0.145,0.115,0.249,,,,,,,0.148,,,,,,,,,
10/15/2017 7:49,10/15/2017 8:19,0.706,0.248,17.925,0.079,18.763,6.243,,13.163,3.805,0.227,3.323,,,,0.068,3.286,0.155,,,0.37,0.246,0.281,0.73,0.137,,0.113,,0.128,0.19,0.166,0.08,,,,,,,,,,,,,,,,
10/15/2017 8:49,10/15/2017 9:19,0.567,0.175,16.677,,11.549,2.404,,5.461,1.552,0.06,1.647,,,,,1.895,0.119,,,0.273,0.198,0.253,0.586,0.127,,0.084,,0.091,0.196,0.197,0.078,,,,,0.058,,,,,,,,,,,
10/15/2017 9:49,10/15/2017 10:19,0.62,0.298,18.425,,12.747,2.577,,5.911,1.688,0.066,1.695,,,,,1.904,0.119,,,0.272,0.187,0.259,0.614,0.13,,0.064,,0.096,0.202,0.162,0.091,,,,,0.064,,,,,,,,,,,
10/15/2017 10:49,10/15/2017 11:19,1.666,0.356,35.676,0.088,18.014,4.183,,9.18,2.639,0.153,2.751,,,,0.072,2.959,0.181,,,0.427,0.349,0.405,0.908,0.18,,0.12,,0.14,0.32,0.333,0.162,,,0.067,,0.113,,0.067,,0.056,,,,,,,
10/15/2017 11:49,10/15/2017 12:19,0.851,0.477,25.706,0.093,17.98,4.233,,8.913,2.574,0.133,2.638,,,,0.07,2.912,0.183,,,0.41,0.297,0.377,0.881,0.196,,0.096,,0.149,0.294,0.28,0.161,,,0.054,,0.101,,0.059,,0.052,,,,,,,
10/15/2017 12:48,10/15/2017 13:18,0.735,0.328,35.252,0.109,23.376,4.965,,10.601,3.072,0.178,3.113,,,,0.091,3.463,0.218,,,0.494,0.409,0.459,1.097,0.273,,0.126,,0.196,0.375,0.365,0.239,,,0.083,,0.128,,0.063,0.06,0.052,,,,,,,
10/15/2017 13:48,10/15/2017 14:18,0.656,0.287,33.071,0.071,21.987,4.668,,9.467,2.741,0.147,2.773,,,,0.066,2.975,0.18,,,0.431,0.305,0.366,0.884,0.221,,0.101,,0.153,0.311,0.282,0.181,,,0.054,,0.101,,,,,,,,,,,
10/15/2017 14:48,10/15/2017 15:18,0.634,0.316,29.406,,19.38,4.045,,8.377,2.409,0.124,2.453,,,,0.059,2.681,0.163,,,0.399,0.278,0.356,0.897,0.213,,0.132,,0.143,0.316,0.282,0.152,,,0.058,,0.092,,,,,,,,,,,
10/15/2017 17:47,10/15/2017 18:17,1.871,2.946,27.763,0.467,18.531,4.044,,8.232,2.419,0.158,2.718,,,,0.109,2.748,0.163,,,0.45,0.32,0.377,0.916,0.391,0.158,0.257,0.171,0.315,0.372,0.273,0.474,0.3,0.276,0.072,0.061,0.111,0.071,0.261,0.088,,0.06,0.064,,,0.077,,
10/15/2017 18:48,10/15/2017 19:18,1.681,0.741,28.727,0.415,18.639,3.924,,8.285,2.433,0.165,2.698,,,,0.099,2.796,0.174,0.063,,0.451,0.318,0.385,0.932,0.356,0.077,0.181,0.066,0.211,0.334,0.22,0.45,0.065,,0.065,,0.109,0.065,0.218,0.064,,0.06,0.064,,,0.051,,
10/15/2017 19:49,10/15/2017 20:19,1.298,0.586,29.472,0.256,18.438,4.292,,8.218,2.389,0.155,2.712,,,,0.101,2.772,0.165,,,0.448,0.321,0.371,0.878,0.3,0.077,0.229,0.073,0.302,0.355,0.256,0.395,0.091,0.117,0.061,,0.092,0.05,0.179,0.055,0.051,,,,,0.055,0.054,
10/15/2017 20:50,10/15/2017 21:20,1.629,0.724,31.018,0.285,18.542,4.747,,8.67,2.528,0.189,3.008,,,,0.122,2.863,0.169,,,0.457,0.343,0.381,0.884,0.308,0.079,0.194,0.08,0.238,0.316,0.24,0.478,0.109,0.185,0.064,,0.085,0.053,0.23,0.07,0.056,0.051,0.054,,,0.076,,
10/15/2017 21:52,10/15/2017 22:22,1.557,0.628,27.183,0.258,16.495,4.43,,8.083,2.374,0.179,2.847,,,,0.118,2.584,0.151,,,0.42,0.326,0.352,0.799,0.29,0.069,0.16,0.083,0.206,0.255,0.219,0.498,0.13,0.056,0.056,,0.08,0.057,0.224,0.073,,,,,,0.071,,
10/15/2017 22:54,10/15/2017 23:24,1.248,1.253,21.648,0.185,12.201,3.111,,5.905,1.688,0.088,2.041,,,,0.074,1.974,0.12,,,0.321,0.239,0.274,0.617,0.24,,0.112,,0.119,0.193,0.162,0.41,0.07,,,,0.059,,0.177,0.058,,,,,,,,
10/15/2017 23:55,10/16/2017 0:25,0.905,0.683,17.436,0.086,9.921,2.427,,4.853,1.389,0.065,1.694,,,,0.055,1.598,0.101,,,0.254,0.199,0.213,0.491,0.17,,0.087,,0.11,0.157,0.114,0.299,0.069,,,,,,0.139,0.064,,,,,,,,
10/16/2017 0:57,10/16/2017 1:27,0.945,0.639,126.425,0.125,61.756,13.52,,24.799,7.297,0.497,7.987,,,,0.252,7.919,0.418,0.137,,1.291,0.985,1.141,2.718,0.402,0.178,0.448,0.132,0.546,0.92,1.157,0.71,0.053,,0.174,0.14,0.248,,0.285,0.088,0.09,,,,,0.053,,
10/16/2017 1:58,10/16/2017 2:28,0.645,0.377,26.033,,11.856,2.498,,4.599,1.318,0.057,1.547,,,,,1.463,0.076,,,0.252,0.175,0.197,0.486,0.121,,0.056,,0.095,0.157,0.155,0.17,,,,,,,0.075,,,,,,,,,
10/16/2017 3:00,10/16/2017 3:30,0.749,0.527,27.949,0.074,13.921,3.464,,6.855,1.981,0.109,2.851,,,,0.082,2.88,0.186,,0.052,0.613,0.461,0.594,1.3,0.249,0.075,0.247,0.128,0.3,0.505,0.645,0.467,,,0.102,0.073,0.136,,0.191,0.052,0.053,,,,,,,
10/16/2017 4:02,10/16/2017 4:32,1.375,0.786,67.414,0.214,35.485,8.839,,18.013,5.192,0.345,8.151,,,,0.282,9.037,0.661,0.199,0.103,2.207,1.785,2.452,5.434,0.828,0.335,1.275,0.355,1.417,2.707,3.721,1.869,0.058,,0.586,0.492,0.855,0.096,0.829,0.146,0.249,0.064,0.07,,0.063,0.108,,
10/16/2017 5:04,10/16/2017 5:34,1.006,0.568,30.534,0.139,14.777,3.594,,7.384,2.118,0.133,3.499,,,,0.122,3.96,0.329,0.075,,1.198,1.005,1.55,3.164,0.521,0.24,0.951,0.272,1.13,2.233,3.122,1.617,0.191,0.114,0.536,0.444,0.836,0.09,0.812,0.14,0.264,0.068,0.067,,0.06,0.103,0.09,
