StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],trans-2-butene_[ppbV],1-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],cis-2-pentene_[ppbV],trans-2-pentene_[ppbV],n-pentane_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]","2,3-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],3-methyl-pentane_[ppbV],methyl-cyclopentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],"2,4-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],"2,3-dimethyl-pentane_[ppbV]",3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",o-xylene_[ppbV],n-nonane_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]","1,2,3-trimethyl-benzene_[ppbV]",p-ethyl-toluene_[ppbV],n-decane_[ppbV],n-undecane_[ppbV]
10/22/2017 12:10,10/22/2017 12:40,0.37,0.294,15.341,,11.262,2.348,,5.434,1.435,0.066,1.616,,,,,1.936,0.118,,,0.276,0.212,0.251,0.61,0.121,,0.076,,0.084,0.194,0.17,0.077,,,,,0.056,,,,,,,,,,,
10/22/2017 13:10,10/22/2017 13:40,,,1.802,,1.071,0.195,,0.471,0.112,,0.149,,,,,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 14:10,10/22/2017 14:40,,,0.907,,0.259,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 15:10,10/22/2017 15:40,0.268,,1.32,,0.404,0.096,,0.226,,,0.149,,,,,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 16:09,10/22/2017 16:39,,,1.006,,0.276,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 17:09,10/22/2017 17:39,,,0.972,,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 18:09,10/22/2017 18:39,0.066,,1.156,,0.323,0.058,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 19:09,10/22/2017 19:39,0.085,,1.286,,0.472,0.067,,0.127,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 20:12,10/22/2017 20:42,,,2.252,,1.011,0.191,,0.352,0.079,,0.143,,,,,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 21:12,10/22/2017 21:42,0.11,,1.668,,0.497,0.067,,0.132,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 22:13,10/22/2017 22:43,,,1.284,,0.374,,,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017 23:16,10/22/2017 23:46,0.174,,2.404,,0.551,0.075,,0.132,,,0.059,,,,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 0:16,10/23/2017 0:46,0.782,,5.034,,0.511,0.06,,0.113,,,,,,,,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 1:17,10/23/2017 1:47,0.282,,1.871,,0.567,0.076,,0.143,,,0.053,,,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 2:19,10/23/2017 2:49,,,1.488,,0.609,0.069,,0.135,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 3:22,10/23/2017 3:52,0.718,,6.052,,0.484,0.054,,0.115,,,,,,,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 4:22,10/23/2017 4:52,0.341,,2.825,,0.508,0.057,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 5:21,10/23/2017 5:51,0.121,,6.619,,4.203,0.846,,1.862,0.51,,0.584,,,,,0.74,,,,0.104,0.075,0.079,0.256,,,,,,0.108,0.09,,,,,,,,,,,,,,,,,
10/23/2017 6:26,10/23/2017 6:56,0.165,,3.886,,2.236,0.378,,0.896,0.231,,0.228,,,,,0.302,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 7:31,10/23/2017 8:01,0.105,,2.894,,1.805,0.352,,0.801,0.211,,0.242,,,,,0.299,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 8:37,10/23/2017 9:07,0.156,0.067,3.357,,2.06,0.422,,0.943,0.246,,0.275,,,,,0.326,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 9:46,10/23/2017 10:16,0.101,,5.678,,4.311,0.827,,1.855,0.522,,0.485,,,,,0.595,,,,0.079,,0.062,0.162,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 10:49,10/23/2017 11:19,0.13,,3.906,,2.387,0.481,,1.083,0.285,,0.329,,,,,0.38,,,,0.057,,,0.128,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 11:54,10/23/2017 12:24,0.086,,5.007,,3.269,0.685,,1.477,0.399,,0.458,,,,,0.557,,,,0.079,0.052,0.057,0.171,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 15:54,10/23/2017 16:24,0.218,0.184,4.336,,2.683,0.581,,1.251,0.344,,0.447,,,,,0.485,,,,0.082,0.051,0.051,0.153,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2017 16:54,10/23/2017 17:24,0.39,0.207,3.886,,2.455,0.614,,1.41,0.386,,0.6,,,,,0.567,,,,0.11,0.083,0.077,0.201,0.081,,,,,0.067,,0.216,,,,,,,0.058,,,,,,,,,
10/23/2017 17:56,10/23/2017 18:26,0.836,0.447,4.765,0.19,3.33,0.891,,1.572,0.437,,0.727,,,,,0.588,,,,0.14,0.121,0.112,0.256,0.137,,0.064,,0.084,0.101,,0.447,,,,,,,0.107,,,0.098,0.102,0.053,0.109,0.188,,
10/23/2017 19:01,10/23/2017 19:31,0.9,0.456,5.287,0.168,3.185,0.781,,1.424,0.38,,0.641,,,,,0.554,,,,0.131,0.115,0.111,0.278,0.129,,0.057,,0.076,0.087,,0.476,,,,,,,0.131,,,,,,,0.057,,
10/23/2017 20:05,10/23/2017 20:35,1.391,0.572,6.654,0.27,3.336,1.12,,1.616,0.453,,0.814,,,,,0.608,,,,0.181,0.121,0.136,0.324,0.188,,0.092,,0.092,0.109,,0.68,,,,,,0.06,0.195,0.074,,,0.054,,,0.069,,
10/23/2017 21:12,10/23/2017 21:42,1.497,0.745,7.59,0.221,5.751,0.834,,1.428,0.404,,0.676,,,,,0.543,,,,0.147,0.118,0.116,0.267,0.148,,0.071,,0.121,0.118,,0.441,0.055,,,,,,0.149,0.057,,0.053,0.057,,,0.086,,
10/23/2017 22:19,10/23/2017 22:49,1.903,1.187,9.002,0.215,5.887,0.951,,1.515,0.402,,0.726,,,,,0.617,,,,0.158,0.104,0.112,0.266,0.148,,0.059,,0.105,0.124,,0.476,0.094,0.078,,,,,0.166,0.062,,0.061,0.065,,0.055,0.096,,
10/23/2017 23:24,10/23/2017 23:54,0.847,0.506,9.852,0.159,7.293,1.759,,3.894,1.092,,1.339,,,,,1.439,0.094,,,0.257,0.204,0.207,0.526,0.153,,0.091,,0.1,0.166,0.134,0.309,,,,,,,0.122,,,,,,,,,
10/24/2017 0:29,10/24/2017 0:59,0.813,0.433,12.843,0.139,8.699,1.797,,3.868,1.089,,1.249,,,,,1.343,0.081,,,0.22,0.177,0.199,0.448,0.134,0.059,0.085,0.061,0.101,0.157,0.128,0.469,0.174,0.154,,,,0.061,0.161,0.057,,,,,,,,
10/24/2017 1:36,10/24/2017 2:06,0.653,0.384,15.299,0.107,11.114,2.406,,5.149,1.452,0.075,1.514,,,,,1.76,0.104,,,0.283,0.217,0.238,0.576,0.129,,0.067,,0.115,0.181,0.165,0.448,,,,,0.055,,0.149,,,,,,,,,
10/24/2017 2:42,10/24/2017 3:12,1.2,0.943,11.038,0.205,4.706,1.148,,2.458,0.698,,0.994,,,,,0.925,0.056,,,0.181,0.157,0.15,0.339,0.155,,0.083,,0.102,0.115,0.065,0.392,,,,,,0.054,0.185,0.055,,,,,,0.052,,
10/24/2017 3:48,10/24/2017 4:18,1.106,1.065,10.322,0.162,3.833,0.919,,1.935,0.537,,0.782,,,,,0.742,,,,0.152,0.118,0.101,0.261,0.131,,0.057,,0.068,0.085,,0.294,,,,,,,0.136,,,,,,,,,
10/24/2017 4:55,10/24/2017 5:25,0.644,0.533,6.456,0.091,2.526,0.56,,1.253,0.345,,0.508,,,,,0.459,,,,0.095,0.068,0.069,0.161,0.079,,,,,,,0.144,,,,,,,0.064,,,,,,,,,
10/24/2017 6:01,10/24/2017 6:31,0.802,0.651,5.941,0.129,2.415,0.541,,1.154,0.317,,0.485,,,,,0.438,,,,0.097,0.069,0.071,0.159,0.102,,,,,0.055,,0.122,,,,,,,0.068,0.064,,,,,,,,
10/24/2017 7:07,10/24/2017 7:37,1.076,0.659,5.368,0.239,2.031,0.543,,1.15,0.325,,0.566,,,,,0.477,,,,0.121,0.093,0.09,0.184,0.152,,,,0.052,0.067,,0.226,,,,,,,0.132,0.051,,,,,,,,
10/24/2017 8:15,10/24/2017 8:45,0.558,0.474,3.089,0.115,1.429,0.314,,0.758,0.198,,0.348,,,,,0.305,,,,0.08,0.06,0.067,0.136,0.08,,,,,,,0.096,,,,,,,0.084,,,,,,,,,
10/24/2017 9:18,10/24/2017 9:48,0.617,0.427,3.374,0.103,1.931,0.509,,1.113,0.294,,0.618,,,,,0.609,0.051,,,0.161,0.113,0.116,0.322,0.103,,,,0.081,0.121,0.09,0.226,,,,,0.07,,0.157,0.053,0.05,,,,,0.05,,
10/24/2017 10:18,10/24/2017 10:48,0.549,0.372,3.311,0.082,4.095,0.379,,2.324,0.648,,0.377,,,,,0.362,,,,0.079,0.06,0.06,0.161,0.06,,,,,,,0.16,,,,,,0.115,0.503,0.153,,,,,,,,
10/24/2017 11:18,10/24/2017 11:48,0.554,0.673,3.036,0.107,1.531,0.545,,1.221,0.324,,0.604,,,,,0.466,,,,0.103,0.078,0.077,0.181,0.072,,,,,0.051,,0.15,,,,,,,0.068,,,,,,,,,
10/24/2017 12:18,10/24/2017 12:48,0.244,0.144,1.921,,0.952,0.197,,0.571,0.138,,0.247,,,,,0.221,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2017 13:18,10/24/2017 13:48,0.307,0.316,1.865,,0.812,0.236,,0.518,0.124,,0.315,,,,,0.391,,,,,,,0.102,,,,,,,,0.098,,,,,,,,,,,,,,,,
10/24/2017 14:17,10/24/2017 14:47,0.315,0.248,2.09,,1.184,0.315,,0.707,0.181,,0.368,,,,,0.297,,,,0.065,,,0.1,,,,,,,,0.079,,,,,,,,,,,,,,,,
10/24/2017 18:16,10/24/2017 18:46,1.094,0.604,4.129,0.251,2.663,0.727,,1.625,0.454,,0.919,,,,,0.667,,,,0.2,0.175,0.145,0.382,0.165,,0.132,,0.17,0.154,0.051,0.896,,,,,,0.061,0.208,0.083,,0.054,0.058,,,0.084,,
10/24/2017 19:18,10/24/2017 19:48,0.963,0.465,4.566,0.196,2.096,0.708,,1.465,0.417,,0.897,,,,,0.546,,,,0.176,0.145,0.137,0.332,0.137,,0.109,0.056,0.139,0.13,,0.848,0.058,0.057,,,,0.055,0.205,0.07,,0.059,0.063,,,0.074,,
10/24/2017 20:22,10/24/2017 20:52,1.076,0.465,5.417,0.191,2.329,0.738,,1.378,0.355,,0.877,,,,,0.569,,,,0.165,0.147,0.138,0.318,0.138,,0.091,0.063,0.097,0.122,,0.67,0.067,,,,,,0.177,0.073,,,,,,0.07,,
10/24/2017 21:28,10/24/2017 21:58,0.511,0.247,4.509,0.081,1.921,0.567,,1.007,0.282,,0.561,,,,,0.39,,,,0.112,0.093,0.084,0.259,0.073,,0.059,,0.071,0.071,,0.405,,0.051,,,,,0.092,,,,,,,,,
10/24/2017 22:32,10/24/2017 23:02,0.412,0.212,3.651,,1.353,0.4,,0.752,0.202,,0.382,,,,,0.296,,,,0.082,0.052,0.06,0.146,0.056,,,,,0.052,,0.223,,,,,,,0.06,,,,,,,,,
10/24/2017 23:39,10/25/2017 0:09,0.387,0.147,4.52,,1.902,0.417,,0.746,0.194,,0.359,,,,,0.288,,,,0.069,,0.053,0.133,,,,,,,,0.152,,,,,,,,,,,,,,,,
10/25/2017 0:45,10/25/2017 1:15,0.183,0.079,3.741,,1.254,0.266,,0.432,0.105,,0.229,,,,,0.206,,,,0.053,,,0.094,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 1:52,10/25/2017 2:22,0.383,,3.42,,1.186,0.24,,0.35,0.084,,0.227,,,,,0.161,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 3:01,10/25/2017 3:31,0.339,0.208,7.354,,3.299,0.779,,1.305,0.359,,0.603,,,,,0.493,,,,0.12,0.074,0.078,0.212,,,,,,0.055,,0.135,,,,,,,0.051,,,,,,,,,
10/25/2017 4:07,10/25/2017 4:37,0.972,0.948,6.717,0.115,2.66,0.61,,1.03,0.284,,0.637,,,,,0.449,,,,0.123,0.076,0.08,0.195,0.079,,,,0.057,0.067,,0.259,,,,,,,0.128,,,,,,,,,0.051
10/25/2017 5:14,10/25/2017 5:44,0.963,0.787,3.903,0.224,1.624,0.407,,0.587,0.169,,0.449,,,,,0.315,,,,0.108,0.066,0.082,0.166,0.124,,,,0.062,0.067,,0.265,,,,,,,0.185,,,,,,,0.057,,
10/25/2017 6:21,10/25/2017 6:51,1.862,0.689,14.225,0.532,5.297,1.401,,2.689,0.79,0.072,1.426,,,,0.088,1.103,0.066,,,0.309,0.231,0.229,0.478,0.366,,0.151,0.054,0.166,0.192,0.143,0.593,0.172,0.186,,0.06,0.058,0.091,0.351,0.109,,0.07,0.076,,0.064,0.102,,
10/25/2017 8:38,10/25/2017 9:08,1.813,1.23,6.027,0.378,1.583,0.693,,1.538,0.441,,0.947,,,,,0.611,,,,0.187,0.129,0.157,0.298,0.215,,0.111,,0.13,0.119,,0.459,0.052,,,,,0.082,0.257,0.098,,0.065,0.067,,,0.086,,
10/25/2017 9:38,10/25/2017 10:08,0.933,0.51,2.834,0.167,1.235,0.535,,1.195,0.328,,0.703,,,,,0.456,,,,0.131,0.108,0.093,0.211,0.106,,0.058,,0.075,0.077,,0.274,0.059,,,,,,0.161,0.061,,,,,,,,
10/25/2017 10:37,10/25/2017 11:07,0.472,0.221,1.937,0.064,1.077,0.399,,0.976,0.257,,0.584,,,,,0.326,,,,0.111,0.095,0.091,0.235,0.054,,0.068,,0.092,0.082,,0.444,,,,,,,0.117,,,,,,,,,
10/25/2017 11:37,10/25/2017 12:07,0.337,0.141,3.044,,1.545,0.427,,1.158,0.308,,0.622,,,,,0.42,,,,0.128,0.084,0.097,0.236,0.05,,0.061,,0.08,0.082,,0.409,,,,,,,0.13,0.062,,,,,,,,
10/25/2017 12:37,10/25/2017 13:07,0.252,0.094,1.267,,0.659,0.23,,0.783,0.202,,0.451,,,,,0.254,,,,0.101,0.084,0.074,0.19,,,,,,,,0.539,,,,,,,,,,,,,,0.079,,
10/25/2017 13:36,10/25/2017 14:06,,,0.799,,0.257,0.139,,0.434,0.102,,0.19,,,,,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 14:36,10/25/2017 15:06,,,0.717,,0.205,0.095,,0.148,,,0.106,,,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 15:36,10/25/2017 16:06,,,0.837,,0.2,,,0.154,,,0.098,,,,,,,,,,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 16:36,10/25/2017 17:06,,,0.972,,0.254,,,0.091,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 17:35,10/25/2017 18:05,,,1.364,,0.48,0.058,,0.149,,,0.057,,,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 18:35,10/25/2017 19:05,,,1.356,,0.364,0.073,,0.185,,,0.106,,,,,0.093,,,,,,,,,,0.055,,0.072,0.086,,,,,,,,,,,,,,,,,,
10/25/2017 19:35,10/25/2017 20:05,,,1.738,,0.656,0.105,,0.183,,,0.071,,,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 20:37,10/25/2017 21:07,0.112,,1.81,,0.802,0.169,,0.256,,,0.129,,,,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 21:39,10/25/2017 22:09,0.158,,2.48,,1.214,0.323,,0.557,0.138,,0.249,,,,,0.192,,,,,,,0.076,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2017 22:43,10/25/2017 23:13,0.156,,2.96,,1.186,0.383,,0.577,0.155,,0.321,,,,,0.236,,,,0.055,,,0.087,,,,,,,,0.065,,,,,,,,,,,,,,,,
10/25/2017 23:45,10/26/2017 0:15,0.109,,1.823,,0.622,0.134,,0.19,,,0.108,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2017 0:50,10/26/2017 1:20,0.105,,2.306,,0.873,0.205,,0.342,0.077,,0.177,,,,,0.166,,,,,,,,,,,,,,,,0.054,,,,,,,,,,,,,,,
10/26/2017 1:55,10/26/2017 2:25,0.072,,6.646,,2.028,0.509,,0.69,0.176,,0.315,,,,,0.257,,,,0.076,,0.053,0.161,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2017 2:57,10/26/2017 3:27,0.129,,4.299,,1.612,0.361,,0.638,0.163,,0.332,,,,,0.249,,,0.089,0.07,,,0.099,,,,,,,,,0.209,0.125,,,,,,,,,,,,,,
10/26/2017 4:02,10/26/2017 4:32,0.15,,6.351,,4.812,1.145,,2.488,0.688,,0.858,,,,,0.965,0.064,,,0.156,0.08,0.125,0.314,,,,,,0.116,0.11,,,,,,,,,,0.059,,,,,,,
10/26/2017 5:05,10/26/2017 5:35,0.207,0.087,7.794,,5.513,1.209,,2.699,0.752,,0.804,,,,,0.983,0.054,,,0.139,0.087,0.108,0.302,,,,,,0.101,0.099,,,,,,,,,,0.056,,,,,,0.057,
10/26/2017 6:10,10/26/2017 6:40,0.475,0.085,14.742,0.085,12.364,2.688,,6.433,1.834,0.087,1.846,,,,,2.235,0.134,,,0.314,0.201,0.261,0.701,0.127,,0.102,,0.121,0.253,0.252,0.126,,,,,0.096,,0.087,,0.081,,,,,,0.066,0.058
10/26/2017 7:13,10/26/2017 7:43,0.377,0.122,4.111,,3.095,0.796,,1.927,0.537,,0.74,,,,,0.911,0.051,,,0.14,0.102,0.109,0.31,0.057,,,,,0.103,0.071,,,,,,,,,,,,,,,,,
10/26/2017 8:16,10/26/2017 8:46,0.319,0.071,4.696,,4.044,1.003,,2.427,0.678,,0.843,,,,,1.019,0.057,,,0.166,0.103,0.138,0.322,0.063,,,,,0.119,0.112,,,,,,,,,,,,,,,,,