StartTime_[LST],EndTime_[LST],benzene_[ppbV],isoprene_[ppbV],"m,p-xylene_[ppbV]",methyl-cyclopentane_[ppbV],n-hexane_[ppbV],n-nonane_[ppbV]
09/04/2018 15:19:39,09/04/2018 15:49:41,0.098,0.2417,0.0174,0.0423,0.1748,
09/04/2018 16:19:28,09/04/2018 16:49:31,0.1195,0.2931,0.0512,0.0553,0.215,0.0039
09/04/2018 18:15:19,09/04/2018 18:45:23,0.1331,0.0577,0.1167,0.2498,0.34,0.0219
09/04/2018 20:15:07,09/04/2018 20:45:10,0.0619,0.0119,0.0347,0.075,0.2112,0.0023
09/04/2018 21:14:56,09/04/2018 21:44:59,0.0597,,0.0644,0.0481,0.1801,0.0175
09/04/2018 22:14:45,09/04/2018 22:44:47,0.1186,0.0069,0.246,0.1401,0.2649,0.2189
09/04/2018 23:14:33,09/04/2018 23:44:36,0.1086,,0.084,0.1606,0.3386,0.0274
09/05/2018 2:07:58,09/05/2018 2:38:00,0.1328,,0.0598,0.1875,0.3223,0.022
09/05/2018 4:03:57,09/05/2018 4:33:59,0.2892,0.0166,0.2488,0.5858,0.8249,0.1655
09/05/2018 5:03:45,09/05/2018 5:33:48,0.2285,0.0567,0.1183,0.4404,0.7772,0.0771
09/05/2018 6:03:33,09/05/2018 6:33:35,0.3296,0.0277,0.1478,0.6866,0.9916,0.0989
09/05/2018 7:59:30,09/05/2018 8:29:34,0.1393,0.0086,0.0347,0.1057,0.2779,0.0145
09/05/2018 9:55:27,09/05/2018 10:25:30,0.126,0.0107,0.0124,0.1613,0.2753,0.001
09/05/2018 11:52:32,09/05/2018 12:22:34,0.0713,0.0188,0.0112,0.0278,0.1374,
09/05/2018 13:49:23,09/05/2018 14:19:27,0.0512,0.0314,0.0206,0.0193,0.1011,
09/05/2018 15:46:11,09/05/2018 16:16:14,0.0759,,0.0499,0.0581,0.1923,
09/05/2018 17:43:33,09/05/2018 18:13:35,0.1492,0.0202,0.1393,0.226,0.3685,0.0443
09/05/2018 22:19:46,09/05/2018 22:49:49,0.1929,0.0351,0.191,0.249,0.3997,0.0216
09/06/2018 0:16:36,09/06/2018 0:46:40,0.1813,0.014,0.2057,0.3859,0.5952,0.016
09/06/2018 2:13:27,09/06/2018 2:43:32,0.1967,0.0234,0.1153,0.4586,0.7033,0.0333
09/06/2018 4:10:23,09/06/2018 4:40:27,0.1182,0.0138,0.0876,0.1739,0.2669,0.0262
09/06/2018 6:07:17,09/06/2018 6:37:20,0.6369,0.0676,0.5521,1.5147,2.122,0.2882
09/06/2018 7:02:13,09/06/2018 7:32:17,1.079,0.0789,0.8967,3.0273,4.6218,0.4705
09/06/2018 8:04:28,09/06/2018 8:34:31,0.8724,0.1226,1.0363,2.1426,3.2293,0.7239
09/06/2018 8:59:48,09/06/2018 9:29:51,0.2769,0.0661,0.2529,0.5847,0.9296,0.1201
09/06/2018 9:46:56,09/06/2018 10:17:02,0.0911,0.0233,0.0605,0.0967,0.2425,0.0077
09/06/2018 12:35:45,09/06/2018 13:05:48,0.022,0.0215,0.0258,0.008,0.0832,0.0026
09/06/2018 13:32:45,09/06/2018 14:02:49,0.0284,0.0469,0.0193,0.0106,0.0786,
09/06/2018 14:30:01,09/06/2018 15:00:04,0.0601,0.0225,0.0757,0.0405,0.159,0.005
09/06/2018 15:26:47,09/06/2018 15:56:49,0.0366,0.0209,0.0301,0.025,0.1581,0.0011
09/06/2018 16:23:41,09/06/2018 16:53:44,0.0258,0.0101,0.0151,0.0137,0.0849,
09/06/2018 17:20:51,09/06/2018 17:50:54,0.0307,0.0272,0.0215,0.0261,0.1042,
09/06/2018 18:17:44,09/06/2018 18:47:46,0.0542,0.0299,0.0665,0.0514,0.1715,0.0015
09/06/2018 19:14:34,09/06/2018 19:44:36,0.0316,0.0142,0.043,0.0237,0.1204,0.0228
09/06/2018 20:12:14,09/06/2018 20:42:17,0.0678,0.0141,0.0691,0.0846,0.2599,0.0486
09/06/2018 21:09:28,09/06/2018 21:39:31,0.064,0.0076,0.0499,0.0789,0.2408,0.0211
09/06/2018 22:06:43,09/06/2018 22:36:46,0.0438,,0.0363,0.0561,0.1692,0.0111
09/06/2018 23:03:25,09/06/2018 23:33:28,0.0344,,0.0171,0.0431,0.1539,0.0024
09/07/2018 0:00:49,09/07/2018 0:30:51,0.054,,0.05,0.1048,0.286,0.018
09/07/2018 0:58:04,09/07/2018 1:28:07,0.0697,,0.0682,0.0971,0.2783,0.0314
09/07/2018 1:54:35,09/07/2018 2:24:38,0.1263,,0.1194,0.2188,0.4872,0.0687
09/07/2018 2:52:02,09/07/2018 3:22:04,0.1322,0.0155,0.1043,0.316,0.577,0.0478
09/07/2018 3:49:10,09/07/2018 4:19:13,0.0723,,0.0498,0.1109,0.3601,0.0175
09/07/2018 4:46:23,09/07/2018 5:16:25,0.0595,,0.0335,0.0695,0.2461,0.0099
09/07/2018 5:43:13,09/07/2018 6:13:15,0.1037,,0.0624,0.229,0.4165,0.0372
09/07/2018 6:40:36,09/07/2018 7:10:39,0.1161,0.0066,0.0618,0.1383,0.3811,0.019
09/07/2018 7:37:38,09/07/2018 8:07:41,0.1058,0.0066,0.0679,0.1098,0.3248,0.0141
09/07/2018 8:34:44,09/07/2018 9:04:47,0.1145,0.0061,0.0775,0.1287,0.371,0.0246
09/07/2018 9:31:58,09/07/2018 10:02:00,0.1064,0.0126,0.0836,0.1202,0.3525,0.0222